recipe_id,name,meal_type,ingredients,cuisine,cooking_time,instructions
13,Aloo Gobi (South Style),Lunch,"potato,cauliflower,onion,oil,salt,turmeric,garam masala",South Indian,25,"Prepare Aloo Gobi using potato, cauliflower, onion. Cook with spices and serve hot."
14,Dal Khichdi (North Style),Dinner,"rice,moong dal,ghee,salt,turmeric,cumin",North Indian,25,"Prepare Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
15,Puliyogare (Tiffin Special),Lunch,"rice,tamarind,peanut,oil,salt,mustard seeds",South Indian,45,"Prepare Puliyogare using rice, tamarind, peanut. Cook with spices and serve hot."
16,Soyabean Curry (Family Pack),Lunch,"soy chunks,onion,tomato,oil,salt,garam masala",Indian,40,"Prepare Soyabean Curry using soy chunks, onion, tomato. Cook with spices and serve hot."
17,Vegetable Sandwich (Classic),Breakfast,"bread,butter,tomato,cucumber,onion,salt,black pepper",Indian,18,"Prepare Vegetable Sandwich using bread, butter, tomato. Cook with spices and serve hot."
18,Vegetable Omelette (Low Oil),Breakfast,"egg,onion,tomato,salt,oil,green chili",Indian,35,"Prepare Vegetable Omelette using egg, onion, tomato. Cook with spices and serve hot."
19,Matar Paneer (Low Oil),Lunch,"peas,paneer,onion,tomato,oil,salt,garam masala",Indian,25,"Prepare Matar Paneer using peas, paneer, onion. Cook with spices and serve hot."
20,Pongal (Tiffin Special),Breakfast,"rice,moong dal,ghee,black pepper,cumin,salt",South Indian,15,"Prepare Pongal using rice, moong dal, ghee. Cook with spices and serve hot."
21,Masoor Dal (Dhaba Style),Lunch,"masoor dal,onion,tomato,oil,salt,turmeric,cumin",Indian,50,"Prepare Masoor Dal using masoor dal, onion, tomato. Cook with spices and serve hot."
22,Masala Dosa (Masala),Breakfast,"rice,urad dal,potato,onion,oil,salt,mustard seeds,curry leaves",South Indian,25,"Prepare Masala Dosa using rice, urad dal, potato. Cook with spices and serve hot."
23,Moong Dal Khichdi (North Style),Lunch,"rice,moong dal,ghee,salt,turmeric,cumin",North Indian,60,"Prepare Moong Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
24,Dal Fry (Dhaba Style),Dinner,"toor dal,onion,tomato,oil,salt,cumin",Indian,15,"Prepare Dal Fry using toor dal, onion, tomato. Cook with spices and serve hot."
25,Uttapam (Dhaba Style),Breakfast,"rice,urad dal,onion,tomato,green chili,salt,oil",South Indian,12,"Prepare Uttapam using rice, urad dal, onion. Cook with spices and serve hot."
26,Vermicelli Upma (Budget),Breakfast,"vermicelli,onion,oil,mustard seeds,curry leaves,salt",Indian,35,"Prepare Vermicelli Upma using vermicelli, onion, oil. Cook with spices and serve hot."
27,Mix Veg Sabzi (Budget),Lunch,"mixed vegetables,onion,tomato,oil,salt,turmeric",Indian,45,"Prepare Mix Veg Sabzi using mixed vegetables, onion, tomato. Cook with spices and serve hot."
28,Methi Paratha (Family Pack),Breakfast,"wheat flour,methi leaves,salt,oil",Indian,15,"Prepare Methi Paratha using wheat flour, methi leaves, salt. Cook with spices and serve hot."
29,Vegetable Biryani (Dhaba Style),Dinner,"rice,mixed vegetables,onion,curd,biryani masala,oil,salt",Indian,10,"Prepare Vegetable Biryani using rice, mixed vegetables, onion. Cook with spices and serve hot."
30,Oats Upma (Home Style),Breakfast,"oats,onion,oil,mustard seeds,curry leaves,salt,water",Indian,18,"Prepare Oats Upma using oats, onion, oil. Cook with spices and serve hot."
31,Lauki Sabzi (Special),Lunch,"bottle gourd,onion,tomato,oil,salt,turmeric",Indian,60,"Prepare Lauki Sabzi using bottle gourd, onion, tomato. Cook with spices and serve hot."
32,Sabudana Khichdi (Dhaba Style),Breakfast,"sabudana,peanut,potato,green chili,salt,oil",Indian,30,"Prepare Sabudana Khichdi using sabudana, peanut, potato. Cook with spices and serve hot."
33,Aloo Tikki (Home Style),Dinner,"potato,bread crumbs,salt,green chili,oil",Indian,40,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
34,Aloo Tikki (Classic),Dinner,"potato,bread crumbs,salt,green chili,oil",Indian,40,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
35,Mix Veg Sabzi (Spicy),Lunch,"mixed vegetables,onion,tomato,oil,salt,turmeric",Indian,30,"Prepare Mix Veg Sabzi using mixed vegetables, onion, tomato. Cook with spices and serve hot."
36,Vegetable Sandwich (Home Style),Breakfast,"bread,butter,tomato,cucumber,onion,salt,black pepper",Indian,18,"Prepare Vegetable Sandwich using bread, butter, tomato. Cook with spices and serve hot."
37,Stuffed Capsicum (Simple),Dinner,"capsicum,potato,onion,oil,salt,garam masala",Indian,45,"Prepare Stuffed Capsicum using capsicum, potato, onion. Cook with spices and serve hot."
38,Paneer Bhurji (Low Oil),Dinner,"paneer,onion,tomato,oil,salt,green chili",Indian,30,"Prepare Paneer Bhurji using paneer, onion, tomato. Cook with spices and serve hot."
39,Moong Dal Cheela (Tiffin Special),Breakfast,"moong dal,onion,green chili,salt,oil",Indian,25,"Prepare Moong Dal Cheela using moong dal, onion, green chili. Cook with spices and serve hot."
40,Sprouts Salad (Family Pack),Dinner,"sprouts,onion,tomato,lemon,salt",Indian,20,"Prepare Sprouts Salad using sprouts, onion, tomato. Cook with spices and serve hot."
41,Curd Rice (South Style),Dinner,"rice,curd,salt,mustard seeds,curry leaves,oil",South Indian,10,"Prepare Curd Rice using rice, curd, salt. Cook with spices and serve hot."
42,Bisi Bele Bath (Tiffin Special),Lunch,"rice,toor dal,mixed vegetables,bisi bele bath powder,ghee,salt",South Indian,50,"Prepare Bisi Bele Bath using rice, toor dal, mixed vegetables. Cook with spices and serve hot."
43,Lauki Sabzi (Quick),Lunch,"bottle gourd,onion,tomato,oil,salt,turmeric",Indian,60,"Prepare Lauki Sabzi using bottle gourd, onion, tomato. Cook with spices and serve hot."
44,Dalia Khichdi (Simple),Dinner,"broken wheat,moong dal,ghee,salt,turmeric",Indian,25,"Prepare Dalia Khichdi using broken wheat, moong dal, ghee. Cook with spices and serve hot."
45,Suji Halwa (Dhaba Style),Breakfast,"rava,ghee,sugar,water,cardamom",Indian,15,"Prepare Suji Halwa using rava, ghee, sugar. Cook with spices and serve hot."
46,Aloo Sandwich (North Style),Breakfast,"bread,potato,butter,salt,black pepper",North Indian,10,"Prepare Aloo Sandwich using bread, potato, butter. Cook with spices and serve hot."
47,Poha (North Style),Breakfast,"poha,onion,oil,mustard seeds,curry leaves,green chili,salt,lemon",North Indian,15,"Prepare Poha using poha, onion, oil. Cook with spices and serve hot."
48,Vegetable Biryani (Family Pack),Dinner,"rice,mixed vegetables,onion,curd,biryani masala,oil,salt",Indian,10,"Prepare Vegetable Biryani using rice, mixed vegetables, onion. Cook with spices and serve hot."
49,Suji Halwa (North Style),Breakfast,"rava,ghee,sugar,water,cardamom",North Indian,30,"Prepare Suji Halwa using rava, ghee, sugar. Cook with spices and serve hot."
50,Rava Idli (Family Pack),Breakfast,"rava,curd,eno,salt,water",South Indian,25,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
51,Bhindi Masala (Quick),Lunch,"okra,onion,tomato,oil,salt,turmeric,garam masala",Indian,60,"Prepare Bhindi Masala using okra, onion, tomato. Cook with spices and serve hot."
52,Dahi Aloo (Dhaba Style),Lunch,"curd,potato,oil,salt,cumin",Indian,40,"Prepare Dahi Aloo using curd, potato, oil. Cook with spices and serve hot."
53,Moong Dal Cheela (Quick),Breakfast,"moong dal,onion,green chili,salt,oil",Indian,25,"Prepare Moong Dal Cheela using moong dal, onion, green chili. Cook with spices and serve hot."
54,Aloo Tikki (Dhaba Style),Dinner,"potato,bread crumbs,salt,green chili,oil",Indian,20,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
55,Chapati Sabzi (Spicy),Dinner,"wheat flour,water,salt,mixed vegetables,oil,turmeric",Indian,35,"Prepare Chapati Sabzi using wheat flour, water, salt. Cook with spices and serve hot."
56,Aloo Tikki (Simple),Breakfast,"potato,bread crumbs,salt,green chili,oil",Indian,20,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
57,Curd Rice (Quick),Dinner,"rice,curd,salt,mustard seeds,curry leaves,oil",South Indian,30,"Prepare Curd Rice using rice, curd, salt. Cook with spices and serve hot."
58,Maggi Masala (Home Style),Dinner,"noodles,onion,tomato,oil,salt,maggi masala",Indian,35,"Prepare Maggi Masala using noodles, onion, tomato. Cook with spices and serve hot."
59,Aloo Tikki (South Style),Breakfast,"potato,bread crumbs,salt,green chili,oil",South Indian,25,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
60,Stuffed Capsicum (North Style),Dinner,"capsicum,potato,onion,oil,salt,garam masala",North Indian,25,"Prepare Stuffed Capsicum using capsicum, potato, onion. Cook with spices and serve hot."
61,Ragi Dosa (Classic),Breakfast,"ragi flour,rice flour,curd,salt,oil",Indian,18,"Prepare Ragi Dosa using ragi flour, rice flour, curd. Cook with spices and serve hot."
62,Semiyan Kheer (Dhaba Style),Breakfast,"vermicelli,milk,sugar,cardamom,ghee",Indian,25,"Prepare Semiyan Kheer using vermicelli, milk, sugar. Cook with spices and serve hot."
63,Chapati Sabzi (Simple),Dinner,"wheat flour,water,salt,mixed vegetables,oil,turmeric",Indian,30,"Prepare Chapati Sabzi using wheat flour, water, salt. Cook with spices and serve hot."
64,Veg Kurma (Spicy),Lunch,"mixed vegetables,coconut,onion,tomato,oil,salt",Indian,45,"Prepare Veg Kurma using mixed vegetables, coconut, onion. Cook with spices and serve hot."
65,Moong Dal Khichdi (Family Pack),Lunch,"rice,moong dal,ghee,salt,turmeric,cumin",Indian,25,"Prepare Moong Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
66,Mooli Paratha (Spicy),Breakfast,"wheat flour,radish,salt,oil,cumin",Indian,35,"Prepare Mooli Paratha using wheat flour, radish, salt. Cook with spices and serve hot."
67,Aloo Sandwich (Spicy),Breakfast,"bread,potato,butter,salt,black pepper",Indian,35,"Prepare Aloo Sandwich using bread, potato, butter. Cook with spices and serve hot."
68,Sambar Rice (North Style),Dinner,"rice,toor dal,sambar powder,mixed vegetables,oil,salt",North Indian,10,"Prepare Sambar Rice using rice, toor dal, sambar powder. Cook with spices and serve hot."
69,Moong Dal Khichdi (Masala),Lunch,"rice,moong dal,ghee,salt,turmeric,cumin",Indian,25,"Prepare Moong Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
70,Vegetable Biryani (Tiffin Special),Dinner,"rice,mixed vegetables,onion,curd,biryani masala,oil,salt",Indian,25,"Prepare Vegetable Biryani using rice, mixed vegetables, onion. Cook with spices and serve hot."
71,Egg Curry (Tiffin Special),Lunch,"egg,onion,tomato,oil,salt,garam masala",Indian,45,"Prepare Egg Curry using egg, onion, tomato. Cook with spices and serve hot."
72,Ragi Dosa (Dhaba Style),Breakfast,"ragi flour,rice flour,curd,salt,oil",Indian,30,"Prepare Ragi Dosa using ragi flour, rice flour, curd. Cook with spices and serve hot."
73,Vegetable Fried Rice (Classic),Dinner,"rice,mixed vegetables,soy sauce,oil,salt,black pepper",Indo-Chinese,20,"Prepare Vegetable Fried Rice using rice, mixed vegetables, soy sauce. Cook with spices and serve hot."
74,Besan Chilla (Simple),Breakfast,"besan,onion,tomato,green chili,salt,oil,water",Indian,15,"Prepare Besan Chilla using besan, onion, tomato. Cook with spices and serve hot."
75,Sambar Rice (Dhaba Style),Dinner,"rice,toor dal,sambar powder,mixed vegetables,oil,salt",Indian,20,"Prepare Sambar Rice using rice, toor dal, sambar powder. Cook with spices and serve hot."
76,Vegetable Stew (North Style),Dinner,"mixed vegetables,coconut milk,salt,black pepper",North Indian,45,"Prepare Vegetable Stew using mixed vegetables, coconut milk, salt. Cook with spices and serve hot."
77,Lemon Rice (Family Pack),Dinner,"rice,lemon,oil,mustard seeds,curry leaves,peanut,salt,turmeric",South Indian,20,"Prepare Lemon Rice using rice, lemon, oil. Cook with spices and serve hot."
78,Chana Salad (Home Style),Dinner,"chickpeas,onion,tomato,lemon,salt,black pepper",Indian,10,"Prepare Chana Salad using chickpeas, onion, tomato. Cook with spices and serve hot."
79,Mooli Paratha (South Style),Breakfast,"wheat flour,radish,salt,oil,cumin",South Indian,15,"Prepare Mooli Paratha using wheat flour, radish, salt. Cook with spices and serve hot."
80,Sambar (Special),Lunch,"toor dal,tamarind,sambar powder,mixed vegetables,oil,salt,mustard seeds",South Indian,35,"Prepare Sambar using toor dal, tamarind, sambar powder. Cook with spices and serve hot."
81,Rava Idli (Spicy),Breakfast,"rava,curd,eno,salt,water",South Indian,20,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
82,Stuffed Capsicum (Masala),Dinner,"capsicum,potato,onion,oil,salt,garam masala",Indian,35,"Prepare Stuffed Capsicum using capsicum, potato, onion. Cook with spices and serve hot."
83,Puliyogare (Tiffin Special),Lunch,"rice,tamarind,peanut,oil,salt,mustard seeds",South Indian,30,"Prepare Puliyogare using rice, tamarind, peanut. Cook with spices and serve hot."
84,Egg Bhurji (Dhaba Style),Breakfast,"egg,onion,tomato,oil,salt,green chili",Indian,30,"Prepare Egg Bhurji using egg, onion, tomato. Cook with spices and serve hot."
85,Pav Bhaji (South Style),Dinner,"pav,potato,tomato,onion,butter,pav bhaji masala,salt",South Indian,20,"Prepare Pav Bhaji using pav, potato, tomato. Cook with spices and serve hot."
86,Soya Chunks Curry (Simple),Dinner,"soy chunks,onion,tomato,oil,salt,garam masala",Indian,45,"Prepare Soya Chunks Curry using soy chunks, onion, tomato. Cook with spices and serve hot."
87,Rice Upma (Simple),Breakfast,"rice,onion,oil,mustard seeds,curry leaves,salt",Indian,15,"Prepare Rice Upma using rice, onion, oil. Cook with spices and serve hot."
88,Moong Dal Cheela (Dhaba Style),Breakfast,"moong dal,onion,green chili,salt,oil",Indian,12,"Prepare Moong Dal Cheela using moong dal, onion, green chili. Cook with spices and serve hot."
89,Dal Khichdi (Family Pack),Dinner,"rice,moong dal,ghee,salt,turmeric,cumin",Indian,45,"Prepare Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
90,Corn Chaat (Simple),Breakfast,"sweet corn,onion,tomato,lemon,salt,chaat masala",Indian,18,"Prepare Corn Chaat using sweet corn, onion, tomato. Cook with spices and serve hot."
91,Uttapam (Simple),Breakfast,"rice,urad dal,onion,tomato,green chili,salt,oil",South Indian,12,"Prepare Uttapam using rice, urad dal, onion. Cook with spices and serve hot."
92,Kheer (South Style),Dinner,"rice,milk,sugar,cardamom,ghee",South Indian,10,"Prepare Kheer using rice, milk, sugar. Cook with spices and serve hot."
93,Aloo Puri (Family Pack),Breakfast,"wheat flour,potato,oil,salt,turmeric",Indian,18,"Prepare Aloo Puri using wheat flour, potato, oil. Cook with spices and serve hot."
94,Aloo Tikki (Dhaba Style),Dinner,"potato,bread crumbs,salt,green chili,oil",Indian,45,"Prepare Aloo Tikki using potato, bread crumbs, salt. Cook with spices and serve hot."
95,Stuffed Capsicum (Classic),Dinner,"capsicum,potato,onion,oil,salt,garam masala",Indian,30,"Prepare Stuffed Capsicum using capsicum, potato, onion. Cook with spices and serve hot."
96,Sambar Rice (Spicy),Dinner,"rice,toor dal,sambar powder,mixed vegetables,oil,salt",Indian,45,"Prepare Sambar Rice using rice, toor dal, sambar powder. Cook with spices and serve hot."
97,Ragi Porridge (Quick),Breakfast,"ragi flour,milk,jaggery,cardamom",Indian,30,"Prepare Ragi Porridge using ragi flour, milk, jaggery. Cook with spices and serve hot."
98,Vegetable Curry (Quick),Lunch,"mixed vegetables,onion,tomato,oil,salt,turmeric,garam masala",Indian,35,"Prepare Vegetable Curry using mixed vegetables, onion, tomato. Cook with spices and serve hot."
99,Vegetable Pulao (Spicy),Lunch,"rice,mixed vegetables,oil,salt,cumin,garam masala",Indian,40,"Prepare Vegetable Pulao using rice, mixed vegetables, oil. Cook with spices and serve hot."
100,Moong Dal Cheela (Classic),Breakfast,"moong dal,onion,green chili,salt,oil",Indian,25,"Prepare Moong Dal Cheela using moong dal, onion, green chili. Cook with spices and serve hot."
101,Rava Idli (Home Style),Breakfast,"rava,curd,eno,salt,water",South Indian,35,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
102,Mooli Paratha (Tiffin Special),Breakfast,"wheat flour,radish,salt,oil,cumin",Indian,35,"Prepare Mooli Paratha using wheat flour, radish, salt. Cook with spices and serve hot."
103,Dhokla (Home Style),Breakfast,"besan,curd,salt,eno,turmeric,water",Gujarati,30,"Prepare Dhokla using besan, curd, salt. Cook with spices and serve hot."
104,Dalia Khichdi (Family Pack),Dinner,"broken wheat,moong dal,ghee,salt,turmeric",Indian,40,"Prepare Dalia Khichdi using broken wheat, moong dal, ghee. Cook with spices and serve hot."
105,Egg Bhurji (Family Pack),Breakfast,"egg,onion,tomato,oil,salt,green chili",Indian,12,"Prepare Egg Bhurji using egg, onion, tomato. Cook with spices and serve hot."
106,Maggi Masala (Simple),Dinner,"noodles,onion,tomato,oil,salt,maggi masala",Indian,35,"Prepare Maggi Masala using noodles, onion, tomato. Cook with spices and serve hot."
107,Kheer (Dhaba Style),Dinner,"rice,milk,sugar,cardamom,ghee",Indian,10,"Prepare Kheer using rice, milk, sugar. Cook with spices and serve hot."
108,Chana Dal (South Style),Lunch,"chana dal,onion,tomato,oil,salt,turmeric,cumin",South Indian,40,"Prepare Chana Dal using chana dal, onion, tomato. Cook with spices and serve hot."
109,Vegetable Fried Rice (Quick),Dinner,"rice,mixed vegetables,soy sauce,oil,salt,black pepper",Indo-Chinese,25,"Prepare Vegetable Fried Rice using rice, mixed vegetables, soy sauce. Cook with spices and serve hot."
110,Aloo Paratha (Low Oil),Breakfast,"wheat flour,potato,onion,green chili,salt,oil,butter",North Indian,20,"Prepare Aloo Paratha using wheat flour, potato, onion. Cook with spices and serve hot."
111,Vegetable Sandwich (Low Oil),Breakfast,"bread,butter,tomato,cucumber,onion,salt,black pepper",Indian,15,"Prepare Vegetable Sandwich using bread, butter, tomato. Cook with spices and serve hot."
112,Veg Kurma (Tiffin Special),Lunch,"mixed vegetables,coconut,onion,tomato,oil,salt",Indian,30,"Prepare Veg Kurma using mixed vegetables, coconut, onion. Cook with spices and serve hot."
113,Lemon Rice (South Style),Dinner,"rice,lemon,oil,mustard seeds,curry leaves,peanut,salt,turmeric",South Indian,45,"Prepare Lemon Rice using rice, lemon, oil. Cook with spices and serve hot."
114,Tomato Soup (Quick),Dinner,"tomato,onion,garlic,salt,black pepper,water",Indian,30,"Prepare Tomato Soup using tomato, onion, garlic. Cook with spices and serve hot."
115,Vegetable Sandwich (Tiffin Special),Breakfast,"bread,butter,tomato,cucumber,onion,salt,black pepper",Indian,12,"Prepare Vegetable Sandwich using bread, butter, tomato. Cook with spices and serve hot."
116,Rajma Chawal (Budget),Lunch,"rajma,rice,onion,tomato,oil,salt,garam masala,ginger,garlic",North Indian,25,"Prepare Rajma Chawal using rajma, rice, onion. Cook with spices and serve hot."
117,Paneer Butter Masala (North Style),Lunch,"paneer,tomato,butter,cream,oil,salt,garam masala,ginger,garlic",North Indian,35,"Prepare Paneer Butter Masala using paneer, tomato, butter. Cook with spices and serve hot."
118,Rava Idli (Special),Breakfast,"rava,curd,eno,salt,water",South Indian,12,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
119,Dal Tadka (Family Pack),Lunch,"toor dal,onion,tomato,garlic,oil,ghee,salt,cumin",Indian,50,"Prepare Dal Tadka using toor dal, onion, tomato. Cook with spices and serve hot."
120,Palak Paneer (Simple),Lunch,"spinach,paneer,onion,tomato,oil,salt,garlic",Indian,35,"Prepare Palak Paneer using spinach, paneer, onion. Cook with spices and serve hot."
121,Sabudana Khichdi (Low Oil),Breakfast,"sabudana,peanut,potato,green chili,salt,oil",Indian,10,"Prepare Sabudana Khichdi using sabudana, peanut, potato. Cook with spices and serve hot."
122,Puri Bhaji (Low Oil),Breakfast,"wheat flour,potato,onion,oil,salt,turmeric",Indian,20,"Prepare Puri Bhaji using wheat flour, potato, onion. Cook with spices and serve hot."
123,Veg Noodles (Spicy),Dinner,"noodles,mixed vegetables,soy sauce,oil,salt,black pepper",Indo-Chinese,30,"Prepare Veg Noodles using noodles, mixed vegetables, soy sauce. Cook with spices and serve hot."
124,Dal Palak (Budget),Lunch,"spinach,toor dal,onion,tomato,oil,salt,garlic",Indian,30,"Prepare Dal Palak using spinach, toor dal, onion. Cook with spices and serve hot."
125,Moong Dal Khichdi (Masala),Lunch,"rice,moong dal,ghee,salt,turmeric,cumin",Indian,20,"Prepare Moong Dal Khichdi using rice, moong dal, ghee. Cook with spices and serve hot."
126,Chole (Simple),Lunch,"chickpeas,onion,tomato,oil,salt,chole masala,ginger,garlic",North Indian,20,"Prepare Chole using chickpeas, onion, tomato. Cook with spices and serve hot."
127,Soya Chunks Curry (South Style),Dinner,"soy chunks,onion,tomato,oil,salt,garam masala",South Indian,25,"Prepare Soya Chunks Curry using soy chunks, onion, tomato. Cook with spices and serve hot."
128,Vegetable Paratha (Spicy),Dinner,"wheat flour,mixed vegetables,salt,oil",Indian,45,"Prepare Vegetable Paratha using wheat flour, mixed vegetables, salt. Cook with spices and serve hot."
129,Bread Upma (Budget),Breakfast,"bread,onion,tomato,oil,salt,mustard seeds",Indian,35,"Prepare Bread Upma using bread, onion, tomato. Cook with spices and serve hot."
130,Vegetable Stew (Tiffin Special),Dinner,"mixed vegetables,coconut milk,salt,black pepper",Indian,30,"Prepare Vegetable Stew using mixed vegetables, coconut milk, salt. Cook with spices and serve hot."
131,Egg Bhurji (Spicy),Dinner,"egg,onion,tomato,oil,salt,green chili",Indian,35,"Prepare Egg Bhurji using egg, onion, tomato. Cook with spices and serve hot."
132,Besan Chilla (Tiffin Special),Breakfast,"besan,onion,tomato,green chili,salt,oil,water",Indian,25,"Prepare Besan Chilla using besan, onion, tomato. Cook with spices and serve hot."
133,Besan Chilla (Simple),Breakfast,"besan,onion,tomato,green chili,salt,oil,water",Indian,12,"Prepare Besan Chilla using besan, onion, tomato. Cook with spices and serve hot."
134,Aloo Matar (Low Oil),Dinner,"potato,peas,onion,tomato,oil,salt,turmeric",Indian,40,"Prepare Aloo Matar using potato, peas, onion. Cook with spices and serve hot."
135,Dosa (Quick),Breakfast,"rice,urad dal,salt,oil",South Indian,30,"Prepare Dosa using rice, urad dal, salt. Cook with spices and serve hot."
136,Rava Dosa (Low Oil),Dinner,"rava,rice flour,curd,salt,oil",South Indian,25,"Prepare Rava Dosa using rava, rice flour, curd. Cook with spices and serve hot."
137,Vegetable Soup (Simple),Dinner,"carrot,beans,onion,garlic,salt,black pepper,water",Indian,45,"Prepare Vegetable Soup using carrot, beans, onion. Cook with spices and serve hot."
138,Sabudana Khichdi (Low Oil),Breakfast,"sabudana,peanut,potato,green chili,salt,oil",Indian,35,"Prepare Sabudana Khichdi using sabudana, peanut, potato. Cook with spices and serve hot."
139,Rava Idli (Family Pack),Breakfast,"rava,curd,eno,salt,water",South Indian,25,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
140,Tomato Soup (Spicy),Dinner,"tomato,onion,garlic,salt,black pepper,water",Indian,10,"Prepare Tomato Soup using tomato, onion, garlic. Cook with spices and serve hot."
141,Rasam (Family Pack),Lunch,"tomato,tamarind,rasam powder,garlic,oil,salt,curry leaves",South Indian,30,"Prepare Rasam using tomato, tamarind, rasam powder. Cook with spices and serve hot."
142,Aloo Sandwich (Tiffin Special),Breakfast,"bread,potato,butter,salt,black pepper",Indian,12,"Prepare Aloo Sandwich using bread, potato, butter. Cook with spices and serve hot."
143,Aloo Jeera (South Style),Lunch,"potato,cumin,oil,salt,turmeric",South Indian,35,"Prepare Aloo Jeera using potato, cumin, oil. Cook with spices and serve hot."
144,Pongal (Masala),Breakfast,"rice,moong dal,ghee,black pepper,cumin,salt",South Indian,10,"Prepare Pongal using rice, moong dal, ghee. Cook with spices and serve hot."
145,Rava Idli (Special),Breakfast,"rava,curd,eno,salt,water",South Indian,12,"Prepare Rava Idli using rava, curd, eno. Cook with spices and serve hot."
146,Ragi Dosa (North Style),Breakfast,"ragi flour,rice flour,curd,salt,oil",North Indian,10,"Prepare Ragi Dosa using ragi flour, rice flour, curd. Cook with spices and serve hot."
147,Rajma Chawal (Low Oil),Lunch,"rajma,rice,onion,tomato,oil,salt,garam masala,ginger,garlic",North Indian,40,"Prepare Rajma Chawal using rajma, rice, onion. Cook with spices and serve hot."
148,Stuffed Capsicum (Quick),Dinner,"capsicum,potato,onion,oil,salt,garam masala",Indian,20,"Prepare Stuffed Capsicum using capsicum, potato, onion. Cook with spices and serve hot."
149,Sambar Rice (Classic),Dinner,"rice,toor dal,sambar powder,mixed vegetables,oil,salt",Indian,40,"Prepare Sambar Rice using rice, toor dal, sambar powder. Cook with spices and serve hot."
150,Paneer Bhurji (Home Style),Lunch,"paneer,onion,tomato,oil,salt,green chili",Indian,40,"Prepare Paneer Bhurji using paneer, onion, tomato. Cook with spices and serve hot."
151,Masala Omelette (Budget),Dinner,"egg,onion,green chili,salt,oil",Indian,20,"Prepare Masala Omelette using egg, onion, green chili. Cook with spices and serve hot."
152,Pongal (Budget),Breakfast,"rice,moong dal,ghee,black pepper,cumin,salt",South Indian,30,"Prepare Pongal using rice, moong dal, ghee. Cook with spices and serve hot."
153,Tawa Paneer (Masala),Dinner,"paneer,onion,tomato,oil,salt,garam masala",Indian,20,"Prepare Tawa Paneer using paneer, onion, tomato. Cook with spices and serve hot."
